Network,NetworkE,IP,Ir90,Nr90,Ir180,Nr180,d90,d180,Is90,Ns90,Is180,Ns180,IShared90,NShared90,IShared180,NShared180,pIr90,pIr180,pIs90,pIs180,pIShared90,pIShared180,ORs90,RRs90
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",15.7679328,785.433905,80.2848497,814.924471,4.40635278,25.7226769,43.4510245,960.851941,98.5661419,964.768138,6,131,17,131,20.1,98.5,45.2,102.2,45.8,129.8,1.013445471,1.012829648
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",16.5482913,785.813495,84.7242385,817.001744,4.73832854,27.1022829,44.3947303,960.89287,99.7934984,964.772479,3,131,16,131,21.1,103.7,46.2,103.4,22.9,122.1,0.483850786,0.495670997
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",17.4869751,785.149665,59.1274059,808.870845,4.23507254,20.5550994,45.5826437,960.896609,92.4313963,964.705199,2,131,9,131,22.3,73.1,47.4,95.8,15.3,68.7,0.311322754,0.321836911
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",17.7058855,786.43902,124.810093,828.516171,5.20826478,37.7813593,46.473856,960.92263,109.978497,964.839222,4,131,25,132,22.5,150.6,48.4,114,30.5,189.4,0.619736313,0.631347418
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",18.2103986,787.343267,74.1101694,815.330819,6.03721331,26.1290774,44.296141,960.894468,97.9955964,964.757063,4,131,19,133,23.1,90.9,46.1,101.6,30.5,142.9,0.651732589,0.662366708
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",18.3130731,787.591205,86.1076907,818.014124,6.10391887,28.5208856,43.633081,960.845932,96.5330352,964.661313,4,132,18,133,23.3,105.3,45.4,100.1,30.3,135.3,0.656907579,0.667304319
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",18.2897534,786.52933,40.0960342,798.902349,5.42723116,13.2126702,45.3314742,960.911873,83.8627799,964.494498,1,131,6,131,23.3,50.2,47.2,86.9,7.6,45.8,0.155365037,0.161812632
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",18.3767503,786.994029,56.3733406,805.002783,5.85222317,17.8559516,44.7462428,960.819757,89.1707603,964.536049,7,131,17,131,23.4,70,46.6,92.4,53.4,129.8,1.155713289,1.147392731
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",18.4299624,786.82578,90.8970632,819.330613,5.50982603,29.4179631,45.587668,960.904528,106.285404,964.92386,5,132,22,133,23.4,110.9,47.4,110.1,37.9,165.4,0.790479058,0.798415457
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",19.3265211,787.542065,61.5920035,808.971802,6.35666192,20.5417037,44.9484408,960.895498,92.444775,964.569661,1,131,12,131,24.5,76.1,46.8,95.8,7.6,91.6,0.156751746,0.163188756
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",19.7122531,787.825357,132.377446,829.223691,6.53853547,37.3606489,45.56146,960.911312,119.969136,965.082679,1,131,31,133,25,159.6,47.4,124.3,7.6,233.1,0.154541859,0.160995738
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",20.1675109,787.42842,60.445054,808.894697,6.0544943,20.0680933,45.9679561,960.886237,93.9639824,964.898023,5,132,10,132,25.6,74.7,47.8,97.4,37.9,75.8,0.783598137,0.791795177
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",20.381586,787.624988,99.293773,820.923832,6.18288504,30.0700861,45.5097006,960.946556,101.329767,964.961368,7,131,23,131,25.9,121,47.4,105,53.4,175.6,1.13553564,1.128293278
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",20.9260221,787.969809,48.4426446,805.632704,6.40284911,17.4784205,44.3830707,960.905759,86.5315387,964.609299,7,132,12,133,26.6,60.1,46.2,89.7,53,90.2,1.156415492,1.148120731
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",21.0052886,788.345165,93.7956026,821.461029,6.90200537,31.0261637,45.2317629,960.918838,103.733178,964.812907,5,131,19,131,26.6,114.2,47.1,107.5,38.2,145,0.803346727,0.810852577
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",21.0092323,787.3379,79.1072994,815.178082,5.97464583,26.5266982,46.9284095,960.919328,99.9230899,964.786453,4,131,14,132,26.7,97,48.8,103.6,30.5,106.1,0.613426192,0.625229973
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",21.4709783,787.510286,82.5084167,810.165472,6.37409174,22.20778,45.801474,960.870611,95.502043,964.447755,3,131,17,132,27.3,101.8,47.7,99,22.9,128.8,0.468258574,0.480435858
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",21.5762432,785.125174,94.6437066,819.143875,4.21682377,29.6177085,46.8634622,960.861999,103.752732,964.871439,4,131,18,133,27.5,115.5,48.8,107.5,30.5,135.3,0.61428145,0.626059115
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",21.9560688,786.138847,50.2839474,806.746379,5.24367908,18.5524737,44.2407193,960.886014,86.4317332,964.539561,7,132,12,132,27.9,62.3,46,89.6,53,90.9,1.160291634,1.15179132
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",22.1135149,785.751548,50.815111,801.655876,4.88498259,15.1727114,47.8992052,960.878654,91.254954,964.680187,5,131,8,131,28.1,63.4,49.8,94.6,38.2,61.1,0.756366271,0.765665268
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",22.47449,787.55462,51.0310754,806.173548,6.09629338,18.2000894,44.5851778,960.887293,89.0105739,964.684384,6,131,9,131,28.5,63.3,46.4,92.3,45.8,68.7,0.986482587,0.987101705
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",22.5746917,788.686308,246.393766,868.833563,7.06369724,70.3033657,50.0424566,960.988518,160.735346,966.017671,2,131,42,131,28.6,283.6,52.1,166.4,15.3,320.6,0.282224249,0.293182658
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",22.7662244,788.689089,61.3539852,808.563332,7.36404027,20.73213,46.485263,960.917161,88.3951468,964.684774,4,131,14,132,28.9,75.9,48.4,91.6,30.5,106.1,0.619572802,0.6311889
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",22.7139113,785.944478,92.9776036,821.799352,4.9211706,31.3047489,47.9161667,960.894248,109.851214,965.104887,3,131,15,132,28.9,113.1,49.9,113.8,22.9,113.6,0.446570025,0.459243994
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",22.7709224,787.279798,168.181474,851.723329,6.09329083,54.7691231,47.1314284,960.888111,132.00263,965.562681,3,131,26,131,28.9,197.5,49,136.7,22.9,198.5,0.454392599,0.466887425
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",22.8069706,788.17391,141.133652,826.39041,6.93892185,34.9364228,47.3113884,960.927602,123.098943,965.14422,2,131,23,132,28.9,170.8,49.2,127.5,15.3,174.2,0.299390759,0.310087083
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",22.7372012,785.617615,175.428657,855.680901,4.48875715,57.3632017,46.3201151,960.923569,132.201353,965.599292,6,131,34,131,28.9,205,48.2,136.9,45.8,259.5,0.947773245,0.95016531
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",22.807032,787.581957,51.7125298,806.356552,6.14036368,18.1012416,46.3053004,960.921255,86.1064887,964.593955,4,131,11,132,29,64.1,48.2,89.3,30.5,83.3,0.622105925,0.633644675
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",22.8401232,788.132948,57.0686514,807.242823,6.91836853,19.2567884,47.0217129,960.904938,90.793745,964.6132,6,131,13,132,29,70.7,48.9,94.1,45.8,98.5,0.932896573,0.935970012
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",22.9919905,786.487497,216.258648,856.653696,5.5063394,62.1224587,46.7128799,960.911759,136.997454,965.306354,3,131,44,132,29.2,252.4,48.6,141.9,22.9,333.3,0.458685833,0.471082341
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",23.3105866,788.061902,66.1024031,812.354523,6.44616287,22.9481971,44.5508491,960.894356,93.5186648,964.690261,6,131,13,133,29.6,81.4,46.4,96.9,45.8,97.7,0.987287318,0.987869578
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",23.3248526,786.817836,118.45378,830.553183,5.82337401,37.4776534,46.1144844,960.900764,110.50824,965.248871,5,131,22,134,29.6,142.6,48,114.5,38.2,164.2,0.787193944,0.795316312
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",23.3434184,787.244156,121.338784,831.236708,5.82278103,38.7916991,45.1158711,960.853502,108.76455,964.935357,7,131,26,132,29.7,146,47,112.7,53.4,197,1.145824407,1.138032263
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",23.5585271,790.012262,53.2397292,806.957311,8.09267084,18.6558923,46.3400878,960.944378,87.3757035,964.56738,4,131,12,131,29.8,66,48.2,90.6,30.5,91.6,0.621630983,0.633184236
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",23.5158654,787.311268,102.090275,826.323156,6.05754488,35.4506397,46.7761839,960.877086,109.551561,964.935818,8,131,25,132,29.9,123.5,48.7,113.5,61.1,189.4,1.271025386,1.254474218
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",23.550724,788.197046,73.8095159,812.09119,6.81666287,23.6426383,47.2653901,960.955853,96.8351671,964.747499,5,131,15,133,29.9,90.9,49.2,100.4,38.2,112.8,0.767105867,0.775994956
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",23.7755402,789.080972,94.8593432,826.091736,7.49852031,33.9485079,46.5623975,960.920022,110.165007,965.28676,6,131,20,133,30.1,114.8,48.5,114.1,45.8,150.4,0.94258819,0.945217738
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",23.9034237,788.622689,189.515937,855.051975,7.07816837,59.2647,47.5841449,960.936922,134.613296,965.410281,2,131,31,132,30.3,221.6,49.5,139.4,15.3,234.8,0.297588791,0.308312627
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",23.8222257,785.558336,86.4313165,816.318203,4.57701076,27.3894203,47.5404331,960.902738,102.23354,964.786416,2,131,13,131,30.3,105.9,49.5,106,15.3,99.2,0.297865521,0.308585132
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",23.9535704,788.447748,52.6535529,804.638003,7.20832178,17.1855874,45.8468972,960.875075,86.3203157,964.502774,7,131,16,132,30.4,65.4,47.7,89.5,53.4,121.2,1.126680749,1.119911549
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",23.9372059,787.671226,196.890889,850.444998,6.4442638,56.3198945,48.1126908,960.889199,141.287074,965.307615,6,131,34,132,30.4,231.5,50.1,146.4,45.8,257.6,0.910638579,0.914731469
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",23.973454,787.212377,83.7737103,814.048675,5.87943451,24.1982633,48.5667351,960.926518,101.397262,964.904081,10,131,24,133,30.5,102.9,50.5,105.1,76.3,180.5,1.552536624,1.510358256
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",24.0719678,789.89018,106.823964,824.42873,7.74181627,33.2972163,46.860858,961.002039,109.209872,965.049165,4,131,22,132,30.5,129.6,48.8,113.2,30.5,166.7,0.614411461,0.626185157
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",23.9709807,786.525958,79.4488926,811.838734,5.31158349,22.7573661,44.7304808,960.858798,94.6394183,964.624345,4,131,17,133,30.5,97.9,46.6,98.1,30.5,127.8,0.645073218,0.655910677
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",24.0259234,787.876272,87.5965553,821.498097,6.30804903,30.5832002,45.4717247,960.922534,96.8007006,964.749168,7,131,24,131,30.5,106.6,47.3,100.3,53.4,183.2,1.136501311,1.129207347
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",24.3756146,787.082182,82.9271618,816.005621,5.96621015,26.312622,47.2600976,960.914289,98.5661922,964.910665,5,131,16,131,31,101.6,49.2,102.2,38.2,122.1,0.767161317,0.776048289
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",24.4166018,787.538132,102.094417,822.394864,6.30931463,31.3759814,48.1966354,960.95966,104.401432,965.035672,6,131,20,131,31,124.1,50.2,108.2,45.8,152.7,0.909039082,0.913205231
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",24.6547698,787.609852,139.068483,830.521052,6.50621653,38.8309888,48.9747316,960.898287,118.265396,965.145114,2,131,27,132,31.3,167.4,51,122.5,15.3,204.5,0.288686619,0.299546366
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",24.9488397,787.790181,76.4014666,815.072561,6.60200147,25.486809,47.5125115,960.893618,98.3570473,964.898487,8,131,16,132,31.7,93.7,49.4,101.9,61.1,121.2,1.250342265,1.235054188
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",25.0134832,788.383918,108.56448,827.891139,6.68967647,36.4417129,46.2375608,960.878299,106.901904,964.86516,6,131,20,132,31.7,131.1,48.1,110.8,45.8,151.5,0.949504141,0.951816928
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",25.2125602,790.89355,79.3979894,815.43961,8.56848318,24.9687684,47.1091208,961.04198,97.582767,964.941995,8,131,20,132,31.9,97.4,49,101.1,61.1,151.5,1.261810592,1.245822159
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",25.2602784,788.657849,142.866942,840.532694,7.2725871,44.9643663,47.6579004,960.895271,118.438923,965.399979,8,131,26,131,32,170,49.6,122.7,61.1,198.5,1.246331711,1.231288553
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",25.5997597,787.795903,125.584457,826.570331,6.52472951,35.4656387,49.2743163,960.912519,115.282349,965.026587,7,131,28,133,32.5,151.9,51.3,119.5,53.4,210.5,1.044427418,1.042053433
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",25.7230974,785.738949,56.725473,805.572658,5.10849009,18.2315669,45.8808879,960.854055,89.1963626,964.64533,9,132,20,134,32.7,70.4,47.8,92.5,68.2,149.3,1.459197047,1.427888157
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",25.9090539,785.855677,162.210551,846.462874,4.83945794,51.1538057,48.4948608,960.907932,127.67333,965.572352,8,131,35,133,33,191.6,50.5,132.2,61.1,263.2,1.223716052,1.210054003
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",26.1554486,786.658792,55.5047389,806.725461,5.61679747,18.5508362,46.6668993,960.877116,88.4507062,964.658091,6,131,13,132,33.2,68.8,48.6,91.7,45.8,98.5,0.940325821,0.94305899
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",26.3502214,787.801516,65.2286995,812.79341,6.46880423,23.6255302,46.9303611,960.869388,92.2017947,964.705233,5,131,14,131,33.4,80.3,48.8,95.6,38.2,106.9,0.7727923,0.78146435
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",26.8063619,790.259704,136.72556,825.658548,8.42323945,34.7931276,50.3307952,961.051298,116.657974,965.148321,8,131,29,132,33.9,165.6,52.4,120.9,61.1,219.7,1.17689088,1.166088383
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",26.9010621,790.002603,122.433794,825.359397,8.27960217,33.8006131,47.5648294,960.898658,113.450609,964.973184,7,131,25,132,34.1,148.3,49.5,117.6,53.4,189.4,1.08397672,1.079489414
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",26.8862352,786.603834,65.4986591,811.682285,5.56602242,22.5224913,46.8231877,960.870572,89.994161,964.634353,6,131,17,132,34.2,80.7,48.7,93.3,45.8,128.8,0.937020237,0.939904807
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",26.936853,787.257741,87.1690631,817.869322,5.88541583,27.6039011,46.9455216,960.901507,98.8831776,964.729235,3,131,15,131,34.2,106.6,48.9,102.5,22.9,114.5,0.45629152,0.468742859
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",26.9715741,788.073684,59.178627,809.366987,6.78026151,20.2823356,45.6737042,960.904382,89.5820463,964.669124,8,131,13,132,34.2,73.1,47.5,92.9,61.1,98.5,1.303314448,1.284791428
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.0587524,788.379419,111.916172,832.370978,7.21376711,39.5742651,48.0445261,960.860734,109.894755,965.123547,4,131,18,131,34.3,134.5,50,113.9,30.5,137.4,0.598405669,0.610668091
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.0570899,787.369221,83.9144094,820.832522,6.26895966,29.2035909,47.0095325,960.876646,95.704218,964.855924,7,131,17,131,34.4,102.2,48.9,99.2,53.4,129.8,1.097421518,1.092215788
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.2292009,787.949655,88.9477429,822.014222,6.69797404,30.5276034,48.0241998,960.878702,102.707942,964.869358,9,131,17,132,34.6,108.2,50,106.4,68.7,128.8,1.402245656,1.374610459
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.1824241,785.118102,158.34794,845.776241,4.4574091,51.2633838,45.6335284,960.869759,128.293444,965.39711,9,131,33,131,34.6,187.2,47.5,132.9,68.7,251.9,1.479557449,1.446610754
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.363289,787.793921,63.5710472,807.722092,6.51182011,19.0383817,47.9157353,960.954781,92.4997639,964.874007,9,131,15,133,34.7,78.7,49.9,95.9,68.7,112.8,1.405703972,1.37783118
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.4278315,789.395291,110.605291,829.543344,7.70534572,36.5319761,46.8104046,960.88545,106.196123,965.015695,10,131,22,132,34.7,133.3,48.7,110,76.3,166.7,1.613816262,1.566960059
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.4681211,788.051859,96.0916831,823.308234,6.81719385,32.3336114,47.5340556,960.876576,104.28305,965.045486,7,131,20,131,34.9,116.7,49.5,108.1,53.4,152.7,1.084688814,1.080163458
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.5041653,785.637291,68.9123534,813.6598,4.61616912,23.7845434,46.8684353,960.868257,92.8889566,964.816992,6,131,14,133,35,84.7,48.8,96.3,45.8,105.3,0.936066911,0.938995144
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.6112028,788.337908,177.313343,858.701533,6.6891804,60.2421344,48.2934983,961.005679,132.275005,965.679813,5,131,29,131,35,206.5,50.3,137,38.2,221.4,0.749971292,0.759514373
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.7342026,789.249545,61.4352155,808.530718,7.61776154,19.8058665,47.5866747,960.918177,93.2219368,964.738468,9,131,15,131,35.1,76,49.5,96.6,68.7,114.5,1.415877754,1.387306
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.841604,790.421839,84.8992,817.803379,8.93363319,27.0219218,49.1786489,960.910207,101.873397,964.964946,9,131,19,131,35.2,103.8,51.2,105.6,68.7,145,1.367644027,1.342386041
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.8281216,789.246913,114.411181,831.543925,7.63900722,37.8901244,48.8511955,960.92385,109.189449,965.134249,7,131,22,131,35.3,137.6,50.8,113.1,53.4,167.9,1.053975689,1.051091492
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.8597052,789.394013,221.499208,841.801144,7.56302489,48.7533335,49.7518883,961.025547,143.149486,965.346597,3,131,36,132,35.3,263.1,51.8,148.3,22.9,272.7,0.429289764,0.442359464
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.9886803,790.26706,182.317471,852.866711,8.53742564,56.306136,46.7954639,960.937889,136.427647,965.539455,6,131,37,131,35.4,213.8,48.7,141.3,45.8,282.4,0.937672859,0.940527537
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",27.9752033,788.456258,85.4649722,815.859199,6.99687968,26.2907516,48.218915,960.882169,100.107937,964.765742,5,131,17,131,35.5,104.8,50.2,103.8,38.2,129.8,0.751091056,0.760591398
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",28.2481028,787.090663,77.9122522,817.222613,6.13853763,26.3510371,46.7288323,960.893149,93.3750807,964.77364,5,131,16,132,35.9,95.3,48.6,96.8,38.2,121.2,0.776316462,0.784854002
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",28.3948801,787.898385,81.9948294,821.167176,6.64999917,29.2269173,46.6092503,960.881891,96.4593921,964.792541,6,131,14,132,36,99.9,48.5,100,45.8,106.1,0.941553157,0.944230111
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",28.5624887,789.63995,91.9083087,819.258638,8.00524894,28.9180232,47.4100123,960.961528,102.772784,964.85639,5,131,20,131,36.2,112.2,49.3,106.5,38.2,152.7,0.764649544,0.773632386
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",28.696329,790.450029,56.4844266,809.928452,8.76072986,20.1988193,48.3501726,960.979047,90.5788532,964.842011,11,132,14,133,36.3,69.7,50.3,93.9,83.3,105.3,1.715945504,1.656283379
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",28.975211,790.951355,44.010041,804.332478,9.03241291,15.9625521,46.8430913,960.956751,85.0455211,964.651832,4,131,6,131,36.6,54.7,48.7,88.2,30.5,45.8,0.614625991,0.626393136
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",29.211362,790.196153,108.339726,827.78064,8.25343345,34.9393537,49.4597723,960.970247,107.335336,965.191154,8,131,23,132,37,130.9,51.5,111.2,61.1,174.2,1.198655622,1.186523981
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",29.1299032,787.748865,193.590332,863.765782,6.36815422,65.6806805,47.4214946,960.9057,137.879849,965.567205,5,132,34,133,37,224.1,49.4,142.8,37.9,255.6,0.75838911,0.767541038
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",29.2613305,789.577595,105.437541,825.645594,7.73474856,33.8708403,46.564204,960.936536,103.563948,964.887389,8,133,26,133,37.1,127.7,48.5,107.3,60.2,195.5,1.25675571,1.241311757
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",29.4925047,791.452199,75.8581509,817.558925,9.13857734,26.3032366,46.5556338,960.881993,94.1579398,964.798969,8,132,20,133,37.3,92.8,48.5,97.6,60.6,150.4,1.267060344,1.250874868
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",29.5631934,788.162524,189.988942,858.515593,6.65012289,60.7119382,50.2661235,960.910933,141.300765,965.660677,6,131,34,131,37.5,221.3,52.3,146.3,45.8,259.5,0.869590647,0.875563594
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",29.7977088,789.826333,54.7107264,809.09292,8.02859126,19.5508067,46.6971387,960.939132,90.1638282,964.812509,8,131,13,131,37.7,67.6,48.6,93.5,61.1,99.2,1.273373391,1.256678833
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",29.9870255,791.785463,92.8601999,818.932023,9.63090301,27.9723054,47.8561465,960.882383,100.030363,964.768071,8,131,22,132,37.9,113.4,49.8,103.7,61.1,166.7,1.24088178,1.226171442
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",29.9915151,789.343221,67.151712,813.544731,7.71809652,23.3659521,46.5365033,960.890467,94.8221341,964.918238,4,131,9,131,38,82.5,48.4,98.3,30.5,68.7,0.618837858,0.630476397
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",29.9897525,788.531447,111.059598,828.338105,7.33214203,36.9236816,48.6701048,960.895199,118.243811,965.155038,9,131,19,132,38,134.1,50.7,122.5,68.7,143.9,1.382682329,1.356391176
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",30.1714887,792.30942,54.9848582,807.842309,9.97751781,18.6075918,46.7200758,960.937276,87.1303365,964.606849,6,131,11,132,38.1,68.1,48.6,90.3,45.8,83.3,0.939262723,0.942044583
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",30.1658797,791.390129,76.6195358,817.062166,9.48780016,25.6642336,52.3121326,960.968849,99.5059224,965.217062,5,131,12,131,38.1,93.8,54.4,103.1,38.2,91.6,0.689281901,0.70114137
B,B: Homogeneous size & staff-to-resident ratio,"Beta (5, 266)",30.2577513,792.379576,94.3610188,820.402062,10.0138284,29.383662,47.1055184,960.937727,98.3854107,964.765545,5,131,16,132,38.2,115,49,102,38.2,121.2,0.769828761,0.778613923
